Category	Class	Country	Dates	Race
Men Elite	1.2 - 1 day - Class 2	Slovenia	24-Mar-22	GP Vipava Valley & Crossborder Goriška
Men Elite	2.2 - Stages - Class 2	Greece	24 Mar - 27 Mar 2022	International Tour of Rhodes
Men Elite	1.UWT - 1 day - UCI WorldTour	Belgium	25-Mar-22	E3 Saxo Bank Classic
Men Elite	CN - National Championships	Bahrain	25 Mar - 26 Mar 2022	National Road Championships - Bahrain
Men Elite	CN - National Championships	Oman	25 Mar - 01 Apr 2022	National Road Championships - Oman
Men Elite	1.UWT - 1 day - UCI WorldTour	Belgium	27-Mar-22	Gent-Wevelgem in Flanders Fields
Women Elite	1.WWT - 1 day - UCI Women’s WorldTour	Belgium	27-Mar-22	Gent-Wevelgem In Flanders Fields
Men Elite	1.2 - 1 day - Class 2	Slovenia	27-Mar-22	GP Adria Mobil
Men Elite	1.1 - 1 day - Class 1	France	27-Mar-22	La Roue Tourangelle Centre Val de Loire - Trophée Groupama Paris Val de Loire
Men Under 23	1.2U - 1 day - Class 2 - U23	Italy	27-Mar-22	Tr. Città di S. Vendemiano - GP Industria & Commercio
Men Elite	1.Pro - 1 day - ProSeries	Italy	27-Mar-22	GP Industria & Artigianato
Men Junior	1.Ncup - 1 day - Class Nations' Cup	Belgium	27-Mar-22	Gent-Wevelgem / Grote Prijs A. Noyelle-Ieper
Women Junior	1.Ncup - 1 day - Class Nations' Cup	Belgium	27-Mar-22	Gent-Wevelgem
Men Under 23	1.Ncup - 1 day - Class Nations' Cup	Belgium	27-Mar-22	Gent-Wevelgem / Kattekoers-Ieper
Women Elite	CN - National Championships	Saudi Arabia	29 Mar - 01 Apr 2022	National Road Championships - Saudi Arabia
Women Elite	1.1 - 1 day - Class 1	Belgium	30-Mar-22	Dwars door Vlaanderen - A travers la Flandre
Men Elite	1.UWT - 1 day - UCI WorldTour	Belgium	30-Mar-22	Dwars door Vlaanderen - A travers la Flandre
Men Under 23	2.2U - Stages - Class 2 - U23	Belgium	31 Mar - 03 Apr 2022	Le Triptyque des Monts et Châteaux
Men Elite	1.1 - 1 day - Class 1	France	1-Apr-22	La Route Adélie de VItré
Men Elite	2.1 - Stages - Class 1	Thailand	01 Apr - 06 Apr 2022	The Princess Maha Chakri Sirindhorns Cup Tour of Thailand
Men Elite	1.Pro - 1 day - ProSeries	Spain	2-Apr-22	Gran Premio Miguel Indurain
